key,version,english,notes,tag,link
caleb2,4.1,Caleb,Numbers 13:30,bible,
Augustus,4.1,Augustus,Luke 2:1,bible,
Tiberius,4.1,Tiberius,Luke 3:1,bible,
Claudius,4.1,Claudius,Acts 11:28,bible,
persia2,4.1,Persia,Esther 1:3,bible,
jehoiada,4.1,Jehoiada,2 Kings 11:4,bible,
Haggai,4.1,Haggai,bible book,bible,
Zerubbabel,4.1,Zerubbabel (Luke 3:27),Luke 3:27,bible,
Jacob2,4.3,Jacob/,Jacob/Israel 1858-1711 – 147 years,bible,
Israel,4.3,Israel,Genesis 35:10,bible,
Sarah,4.3,Sarah,"2008-1881 BCE – 127 years, Isaiah 51:2",bible,
Hagar,4.3,Hagar,Genesis 21:14,bible,
Haran,4.3,Haran,Genesis 11:26,bible,
Reumah,4.3,Reumah,Genesis 22:24 Concubine – 4 sons,bible,
Milcah,4.3,Milcah,Genesis 22:20 - 8 sons (Bethuel and 7 more),bible,
Lot,4.3,Lot,Genesis 11:27,bible,
Ammon,4.3,Ben-ammi (Ammon),Genesis 19:38,bible,
Bethuel,4.3,Bethuel,Genesis 22:23,bible,
Rebekah,4.3,Rebekah,Genesis 22:23,bible,
Laban,4.3,Laban,Genesis 24:29,bible,
Leah,4.3,Leah,Genesis 35:23,bible,
Rachel,4.3,Rachel,Genesis 35:24,bible,
Bilhah,4.3,Bilhah,Genesis 35:25,bible,
Zilpah,4.3,Zilpah,Genesis 35:26,bible,
Reuben,4.3,Reuben,Genesis 35:23,bible,
Simeon,4.3,Simeon,Genesis 35:23,bible,
Levi,4.3,Levi,Genesis 35:23,bible,
Judah,4.3,Judah,Genesis 35:23,bible,
Issachar,4.3,Issachar,Genesis 35:23,bible,
Zebulun,4.3,Zebulun,Genesis 35:23,bible,
Dinah,4.3,Dinah,Genesis 34:1,bible,
Esau,4.3,Esau/,Genesis 36:1,bible,
Edom,4.3,Edom,Genesis 36:1,bible,
Ishmael,4.3,Ishmael,Genesis 16:16,bible,
Manasseh2,4.3,(Manasseh,Genesis 41:51,bible,
Ephraim,4.3,and Ephraim),Genesis 41:52,bible,
Benjamin,4.3,Benjamin,Genesis 35:24,bible,
Dan,4.3,Dan,Genesis 35:25,bible,
Naphtali,4.3,Naphtali,Genesis 35:25,bible,
Gad,4.3,Gad,Genesis 35:26,bible,
Asher,4.3,Asher,Genesis 35:26,bible,
Milcah1,4.3,"Uz, Buz, Kemuel,",Genesis 22:21,bible,
Milcah2,4.3,"Chesed, Hazo,",Genesis 22:22,bible,
Milcah3,4.3,"Pildash, Jidlaph",Genesis 22:22,bible,
Tebah,4.3,Tebah,Genesis 22:24,bible,
Gaham,4.3,Gaham,Genesis 22:24,bible,
Tahash,4.3,Tahash,Genesis 22:24,bible,
Maacah,4.3,Maacah,Genesis 22:24,bible,
Mahalath,4.3,Mahalath/,"Genesis 28:8, 9",bible,
Basemath,4.3,Basemath,"Genesis 36:3, 4",bible,
Reuel,4.3,Reuel,"Genesis 36:13, 17",bible,
Nahath,4.3,Nahath,Genesis 36:13,bible,
Zerah,4.3,Zerah,Genesis 36:13,bible,
Schammah,4.3,Schammah,Genesis 36:13,bible,
Mizzah,4.3,Mizzah,Genesis 36:13,bible,
Adah,4.3,Adah,"Genesis 36:11, 12, 15, 16",bible,
Eliphaz,4.3,Eliphaz,Genesis 36:11,bible,
Teman,4.3,Teman,Genesis 36:11,bible,
Omar,4.3,Omar,Genesis 36:11,bible,
Zepho,4.3,Zepho,Genesis 36:11,bible,
Kenaz,4.3,Kenaz,Genesis 36:11,bible,
Korah,4.3,Korah,Genesis 36:16,bible,
Korah_Gatam,5.9,"Korah, Gatam","Genesis 36:11, 16",bible,
Amalek,4.3,Amalek,Genesis 36:12,bible,
Oholibamah,4.3,Oholibamah,"Genesis 36:14, 18",bible,
Jeush,4.3,Jeush,Genesis 36:14,bible,
Jalam,4.3,Jalam,Genesis 36:14,bible,
Nebaioth,4.3,Nebaioth,Genesis 25:13,bible,
Kedar,4.3,Kedar,Genesis 25:13,bible,
Mishma,4.3,Mishma,Genesis 25:14,bible,
Adbeel_Mibsam,5.9,"Adbeel, Mibsam",Genesis 25:13,bible,
Dumah_Massa,5.9,"Dumah, Massa",Genesis 25:14,bible,
Hadad,4.3,Hadad,Genesis 25:15,bible,
Tema,4.3,Tema,Genesis 25:15,bible,
Jetur,4.3,Jetur,Genesis 25:15,bible,
Naphish,4.3,Naphish,Genesis 25:15,bible,
Kedemah,4.3,Kedemah,Genesis 25:15,bible,
Keturah,4.9,Keturah,Genesis 25:1,bible,
Zimran,4.9,Zimran,Genesis 25:1,bible,
Jokshan,4.9,Jokshan,Genesis 25:1,bible,
Medan,4.9,Medan,Genesis 25:1,bible,
Midian,4.9,Midian,Genesis 25:1,bible,
Ishbak,4.9,Ishbak,Genesis 25:1,bible,
Shuah,4.9,Shuah,Genesis 25:1,bible,
Timna,4.9,Timna,"Genesis 36:12, 1 Chr 1:36",bible,
life-expectancy2,4.9,(Psalm 90:10),2024-11-29,bible,
Ham,5.9,Ham,Gen 10:1,bible,
Canaan,5.9,Canaan,Gen 10:6,bible,
Sidon,5.9,Sidon,Gen 10:15,bible,
