key,lang,dict,shaping_engine,script,language,direction,fontname,fontsize,fontsize_AM,y_offset,replace_numerals,language_str,nr,test
ak,Twi (Akan),FALSE,,,,ltr,,10,15,0,FALSE,Twi (Akan)(*** no dictionary yet ***),183,189
uk,Ukrainian,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Ukrainian (українська),184,190
ur,Urdu,TRUE,TRUE,,urd,RTL,NotoNastaliqUrdu,10,15,0,FALSE,Urdu (اُردُو),185,191
ug,Uyghur,FALSE,,,,RTL,,10,15,0,FALSE,Uyghur (*** no dictionary yet ***),186,192
uz,Uzbek,FALSE,,,,ltr,,10,15,0,FALSE,Uzbek (*** no dictionary yet ***),187,193
vi,Vietnamese,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Vietnamese (Tiếng Việt),188,194
cy,Welsh,FALSE,,,,ltr,,10,15,0,FALSE,Welsh (*** no dictionary yet ***),189,195
xh,Xhosa,FALSE,,,,ltr,,10,15,0,FALSE,Xhosa (*** no dictionary yet ***),190,196
yi,Yiddish,FALSE,,,,RTL,,10,15,0,FALSE,Yiddish (*** no dictionary yet ***),191,197
yo,Yoruba,FALSE,,,,ltr,,10,15,0,FALSE,Yoruba(*** no dictionary yet ***),192,198
yua,Yucatec Maya,FALSE,,,,ltr,,10,15,0,FALSE,Yucatec Maya(*** no dictionary yet ***),193,199
zu,Zulu,FALSE,,,,ltr,,10,15,0,FALSE,Zulu(*** no dictionary yet ***),194,200
